source,night,stamp,receiver,beacon,mac,window,n_windows,sfo_median,sfo_iqr,sfo_sd,cfo_median,cfo_iqr,cfo_sd
night8_block_T0+9600,8,20260905_025053,s3,B3,f4:2d:c9:70:72:30,T0+9600..9900,388,0.011165,0.000613,0.000458,0.1841,7.0380,5.4638
scored_window,1,20260829_025355,d0wd,B1,a4:f0:0f:77:91:20,T0+2400..4700 (T0+5520..7820 on night 2),1425,0.024821,0.001527,0.001461,0.0285,3.5615,2.5706
scored_window,1,20260829_025355,d0wd,B2,28:05:a5:2f:fa:48,T0+2400..4700 (T0+5520..7820 on night 2),1623,0.000870,0.000616,0.000453,0.1527,4.2114,3.3331
scored_window,1,20260829_025355,d0wd,B3,f4:2d:c9:70:72:30,T0+2400..4700 (T0+5520..7820 on night 2),1942,0.007298,0.000460,0.000347,0.0565,4.7242,3.4641
scored_window,1,20260829_025355,s3,B1,a4:f0:0f:77:91:20,T0+2400..4700 (T0+5520..7820 on night 2),2421,0.031907,0.001345,0.000973,-0.0790,5.6722,4.2396
scored_window,1,20260829_025355,s3,B2,28:05:a5:2f:fa:48,T0+2400..4700 (T0+5520..7820 on night 2),3124,0.011610,0.001347,0.000791,0.1244,8.1946,6.0628
scored_window,1,20260829_025355,s3,B3,f4:2d:c9:70:72:30,T0+2400..4700 (T0+5520..7820 on night 2),3054,0.019733,0.000869,0.000630,0.2327,7.1949,5.3845
scored_window,2,20260830_013943,d0wd,B1,a4:f0:0f:77:91:20,T0+2400..4700 (T0+5520..7820 on night 2),1569,0.001221,0.001379,0.001098,-0.0928,3.5441,2.7213
scored_window,2,20260830_013943,d0wd,B2,28:05:a5:2f:fa:48,T0+2400..4700 (T0+5520..7820 on night 2),1741,0.006537,0.001454,0.001241,0.0393,4.3648,3.3041
scored_window,2,20260830_013943,d0wd,B3,f4:2d:c9:70:72:30,T0+2400..4700 (T0+5520..7820 on night 2),525,0.079407,0.002485,0.001949,-0.1244,4.2818,2.9287
scored_window,2,20260830_013943,s3,B1,a4:f0:0f:77:91:20,T0+2400..4700 (T0+5520..7820 on night 2),3111,0.015178,0.000927,0.000744,-0.0233,7.5703,5.4031
scored_window,2,20260830_013943,s3,B2,28:05:a5:2f:fa:48,T0+2400..4700 (T0+5520..7820 on night 2),2624,0.024856,0.001989,0.003727,-0.1229,6.5876,5.0128
scored_window,2,20260830_013943,s3,B3,f4:2d:c9:70:72:30,T0+2400..4700 (T0+5520..7820 on night 2),3183,0.020369,0.000677,0.000537,0.0748,7.5846,5.7586
scored_window,3,20260831_020408,d0wd,B2,28:05:a5:2f:fa:48,T0+2400..4700 (T0+5520..7820 on night 2),2280,0.004568,0.001029,0.000731,0.2622,6.0953,4.7691
scored_window,3,20260831_020408,d0wd,B3,f4:2d:c9:70:72:30,T0+2400..4700 (T0+5520..7820 on night 2),2551,0.017397,0.000729,0.000637,0.1507,6.5809,4.7302
scored_window,3,20260831_020408,s3,B2,28:05:a5:2f:fa:48,T0+2400..4700 (T0+5520..7820 on night 2),3143,0.011235,0.000919,0.000600,-0.1958,9.1256,7.0482
scored_window,3,20260831_020408,s3,B3,f4:2d:c9:70:72:30,T0+2400..4700 (T0+5520..7820 on night 2),3218,0.018902,0.000563,0.000413,-0.2892,7.5428,5.6964
scored_window,4,20260901_035805,d0wd,B1,a4:f0:0f:77:91:20,T0+2400..4700 (T0+5520..7820 on night 2),687,0.059799,0.002765,0.002913,-0.0096,3.1362,2.2950
scored_window,4,20260901_035805,d0wd,B2,28:05:a5:2f:fa:48,T0+2400..4700 (T0+5520..7820 on night 2),1834,0.002487,0.001065,0.000821,0.3886,4.6048,3.4071
scored_window,4,20260901_035805,d0wd,B3,f4:2d:c9:70:72:30,T0+2400..4700 (T0+5520..7820 on night 2),1542,0.044655,0.004731,0.003432,0.2203,4.1051,3.1995
scored_window,4,20260901_035805,s3,B1,a4:f0:0f:77:91:20,T0+2400..4700 (T0+5520..7820 on night 2),3013,0.006337,0.000626,0.000470,0.2051,6.9150,5.1975
scored_window,4,20260901_035805,s3,B2,28:05:a5:2f:fa:48,T0+2400..4700 (T0+5520..7820 on night 2),2791,0.012127,0.000798,0.000747,0.2078,7.3559,5.5870
scored_window,4,20260901_035805,s3,B3,f4:2d:c9:70:72:30,T0+2400..4700 (T0+5520..7820 on night 2),2968,0.018829,0.000810,0.000648,0.5027,6.7916,5.0832
scored_window,5,20260902_000949,d0wd,B1,a4:f0:0f:77:91:20,T0+2400..4700 (T0+5520..7820 on night 2),1659,0.003865,0.000868,0.000633,-0.1299,3.8343,2.8872
scored_window,5,20260902_000949,d0wd,B2,28:05:a5:2f:fa:48,T0+2400..4700 (T0+5520..7820 on night 2),1449,0.010760,0.002142,0.001648,0.1865,3.7131,2.7096
scored_window,5,20260902_000949,d0wd,B3,f4:2d:c9:70:72:30,T0+2400..4700 (T0+5520..7820 on night 2),1796,0.008707,0.002042,0.001303,-0.0954,4.2420,3.2689
scored_window,5,20260902_000949,s3,B1,a4:f0:0f:77:91:20,T0+2400..4700 (T0+5520..7820 on night 2),2635,0.007102,0.001005,0.000787,0.1295,6.0438,4.4557
scored_window,5,20260902_000949,s3,B2,28:05:a5:2f:fa:48,T0+2400..4700 (T0+5520..7820 on night 2),2788,0.007696,0.000954,0.000696,-0.1841,7.5466,5.5403
scored_window,5,20260902_000949,s3,B3,f4:2d:c9:70:72:30,T0+2400..4700 (T0+5520..7820 on night 2),2416,0.003818,0.001011,0.000855,0.1706,5.7595,4.3258
scored_window,6,20260903_013851,d0wd,B1,a4:f0:0f:77:91:20,T0+2400..4700 (T0+5520..7820 on night 2),1742,0.007527,0.000538,0.000399,-0.0029,4.2759,3.0965
scored_window,6,20260903_013851,d0wd,B2,28:05:a5:2f:fa:48,T0+2400..4700 (T0+5520..7820 on night 2),1700,0.002500,0.000671,0.000488,0.1532,4.0609,3.0265
scored_window,6,20260903_013851,d0wd,B3,f4:2d:c9:70:72:30,T0+2400..4700 (T0+5520..7820 on night 2),1590,0.028149,0.001125,0.000808,-0.2123,4.0041,2.8899
scored_window,6,20260903_013851,s3,B1,a4:f0:0f:77:91:20,T0+2400..4700 (T0+5520..7820 on night 2),2783,0.005355,0.000690,0.000519,-0.0500,6.6678,4.7723
scored_window,6,20260903_013851,s3,B2,28:05:a5:2f:fa:48,T0+2400..4700 (T0+5520..7820 on night 2),3036,0.007303,0.000565,0.000414,0.2491,8.8057,6.8812
scored_window,6,20260903_013851,s3,B3,f4:2d:c9:70:72:30,T0+2400..4700 (T0+5520..7820 on night 2),3157,0.020403,0.000722,0.000544,0.5076,7.4516,5.4919
scored_window,7,20260904_010024,d0wd,B1,a4:f0:0f:77:91:20,T0+2400..4700 (T0+5520..7820 on night 2),487,0.012008,0.021184,0.010974,-0.0309,3.3334,2.3326
scored_window,7,20260904_010024,d0wd,B2,28:05:a5:2f:fa:48,T0+2400..4700 (T0+5520..7820 on night 2),1899,0.003278,0.000874,0.000675,0.2102,4.8083,3.5960
scored_window,7,20260904_010024,d0wd,B3,f4:2d:c9:70:72:30,T0+2400..4700 (T0+5520..7820 on night 2),2544,0.006220,0.000412,0.000306,0.3720,6.0616,4.7173
